player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
T.J. Yates,North Carolina,,3,2007,2010,795.0,1277.0,62.3,9377.0,,46.0,1497.0,,,,,,,
Brady White,Memphis,152.6,4,2016,2020,794.0,1281.0,62.0,10949.0,92.0,,,10926.0,99.0,8.5,8.9,13.8,248.8,7.5
Chris Reynolds,Charlotte,146.3,4,2018,2022,793.0,1273.0,62.3,10266.0,84.0,,1648.0,11153.0,97.0,8.1,8.1,,,6.8
Cody Pickett,Washington,,4,1999,2003,792.0,1373.0,,9916.0,,42.0,1622.0,9730.0,,,,,260.9,
Bryant Moniz,Hawaii,144.2,2,2009,2011,791.0,1271.0,62.2,10169.0,75.0,,,10681.0,88.0,,8.1,,299.1,7.2
Ryan Nassib,Syracuse,,3,2009,2012,791.0,1312.0,,9190.0,70.0,,1554.0,,,,,,,
Ryan Radcliff,Central Michigan,,3,2009,2012,791.0,1347.0,,9922.0,,44.0,,9770.0,,,,,,
Cameron Ward,Miami (FL),145.9,2,2022,2024,791.0,,66.1,9187.0,68.0,,,,84.0,,8.0,,296.4,
Andre Woodson,Kentucky,,3,2004,2007,791.0,1278.0,61.9,9360.0,79.0,,1510.0,,84.0,,,,,
Dominique Davis,East Carolina,,3,2008,2011,790.0,1241.0,63.7,,68.0,,,,84.0,,,,255.9,
Justice Hansen,Arkansas State,146.5,2,2016,2018,788.0,1261.0,62.5,10133.0,83.0,,1608.0,11097.0,97.0,,8.2,,266.7,6.9
Adrian Martinez,Kansas State,,4,2018,2022,788.0,1239.0,63.6,9752.0,,,1858.0,12680.0,96.0,,,,,6.8
Eric Dungey,Syracuse,,3,2015,2018,786.0,1279.0,61.5,9340.0,,,1822.0,11333.0,93.0,,,,239.5,
Spence Fischer,Duke,,3,1992,1995,786.0,1369.0,,,,46.0,1612.0,,,,,,,
Willie Tuitama,Arizona,,3,2005,2008,786.0,1276.0,61.6,9211.0,67.0,,,,,,,,230.3,
Spencer Sanders,Ole Miss,,4,2019,2023,784.0,1282.0,,9831.0,70.0,40.0,1786.0,11832.0,88.0,,,,,6.6
Ben Hicks,Arkansas,,3,2016,2019,783.0,1403.0,,9819.0,73.0,,1564.0,9725.0,,,,,,
Jason McKinley,Houston,,3,1997,2000,783.0,1385.0,,,,47.0,1530.0,,,,,,,
Graham Mertz,Florida,,5,2019,2024,782.0,1210.0,64.6,,,,,,,,,,,
Teddy Bridgewater,Louisville,157.2,2,2011,2013,781.0,,68.4,9817.0,72.0,,,9987.0,,8.6,8.9,,251.7,7.3
Brian Brohm,Louisville,157.9,3,2004,2007,780.0,,65.8,10775.0,71.0,,,10819.0,80.0,9.1,9.4,13.8,244.9,8.0
Nathan Enderle,Idaho,,3,2007,2010,779.0,1427.0,,10084.0,74.0,60.0,1655.0,9735.0,,,,,,
Marcus Mariota,Oregon,171.8,2,2012,2014,779.0,,66.8,10796.0,105.0,,1504.0,13033.0,136.0,9.3,10.5,13.9,263.3,8.7
D.J. Uiagalelei,Florida State,,4,2020,2024,779.0,1332.0,,9384.0,,,1712.0,10508.0,82.0,,,,,
Devin Leary,Kentucky,,4,2019,2023,777.0,1315.0,,9553.0,87.0,,,,93.0,,,,,
Drew Plitt,Ball State,,4,2017,2021,777.0,1246.0,62.4,,68.0,,1568.0,,82.0,,,,,
Andrew Walter,Arizona State,,3,2001,2004,777.0,1416.0,,10617.0,85.0,,1591.0,10142.0,85.0,,,13.7,,
Casey Clausen,Tennessee,,3,2000,2003,775.0,1270.0,,9707.0,75.0,,1499.0,,81.0,,,,,
Nathan Scheelhaase,Illinois,,3,2010,2013,775.0,1231.0,63.0,,,,1845.0,10634.0,,,,,,
John Elway,Stanford,,3,1979,1982,774.0,1246.0,62.1,9349.0,77.0,,1505.0,,82.0,,,,,
Davis Brin,Georgia Southern,,5,2018,2023,773.0,1242.0,62.2,9431.0,,43.0,,,,,,,241.8,
JT Daniels,Rice,,5,2018,2023,770.0,1224.0,62.9,9390.0,,,,,,,,,229.0,6.7
J.T. Barrett,Ohio State,152.3,3,2014,2017,769.0,1211.0,63.5,9434.0,104.0,,1867.0,12697.0,147.0,,8.4,,,6.8
Alex Carder,Western Michigan,,3,2009,2012,769.0,1215.0,63.3,,74.0,,1500.0,,84.0,,,,,
Derek Anderson,Oregon State,,3,2001,2004,768.0,1515.0,,11249.0,79.0,57.0,1697.0,10716.0,87.0,,,14.6,229.6,
Kenny Hill,TCU,,4,2013,2017,768.0,,64.9,9192.0,,,,10319.0,81.0,,,,241.9,7.0
Rusty Smith,Florida Atlantic,,3,2006,2009,768.0,1361.0,,10112.0,76.0,,,9777.0,81.0,,,,,6.6
Casey Bramlet,Wyoming,,3,2000,2003,767.0,1378.0,,9684.0,,48.0,1674.0,,,,,,242.1,
Brandon Weeden,Oklahoma State,157.6,3,2008,2011,767.0,,69.5,9260.0,75.0,,,,,8.4,8.7,,308.7,8.0
Bruce Gradkowski,Toledo,157.4,3,2002,2005,766.0,,68.2,9225.0,85.0,,,10243.0,99.0,8.2,8.6,,,7.5
James Blackman,Arkansas State,,5,2017,2022,765.0,1246.0,61.4,9260.0,,,1501.0,,,,,,,
Daniel Jones,Duke,,2,2016,2018,764.0,1275.0,,,,,1681.0,,,,,,,
Grayson McCall,North Carolina State,174.7,5,2019,2024,763.0,,69.6,10523.0,91.0,,,11689.0,109.0,9.6,10.6,13.8,,8.0
David Neill,Nevada,,3,1998,2001,763.0,1376.0,,10903.0,73.0,,1727.0,11664.0,87.0,,,14.3,272.6,6.8
Payton Thorne,Auburn,,4,2020,2024,763.0,1254.0,,9486.0,75.0,40.0,1609.0,10418.0,86.0,,,,,
Gardner Minshew,Washington State,,2,2016,2018,761.0,,65.2,,,,,,,,,,275.5,
John Wolford,Wake Forest,,3,2014,2017,761.0,1273.0,,,,41.0,1720.0,9914.0,,,,,,
J'mar Smith,Louisiana Tech,,3,2016,2019,759.0,1280.0,,9523.0,,,1607.0,10400.0,,,,,,
Logan Woodside,Toledo,162.9,4,2013,2017,759.0,,65.1,10514.0,93.0,,,10602.0,97.0,9.0,9.6,13.9,239.0,8.1
