player,drafted,yrs_played,teams,hof,wAV,earnings_mils,comp_%,pass_rating,comp,att,pass_yds,TD,pass_yds_game,int,int_%,pick_6,sacks,4QC,GWD
Kevin Kolb,2007,,"['Cardinals', 'Eagles', 'Bills']",0,,37.68,,,,,,,,,,4,,4,
Pete Liske,,,[],0,,,,,,,,,,,,4,,,
Shane Matthews,,,[],0,,,,,,,,,,,,4,,,
Nick Mullens,2017,,"['Vikings', '49ers', 'Raiders', 'Browns', 'Eagles']",0,,6.525,,,,,,,,,,4,,,
Rick Norton,,,[],0,,,,,,,,,,,,4,,,
Patrick Ramsey,,,[],0,,,,,,,,,,,,4,,,
Frank Reich,,,[],0,,,,,,,,,,,,4,,,
M.C. Reynolds,,,[],0,,,,,,,,,,,,4,,,
Turk Schonert,,,[],0,,,,,,,,,,,,4,,,
Billy Volek,,,[],0,,,,,,,,,,,,4,,,
Tommy Wade,,,[],0,,,,,,,,,,,,4,,,
Danny Wuerffel,,,[],0,,,,,,,,,,,,4,,,
Quincy Carter,,,[],0,,,,,,,,,,,,,,5,7
Bruce Gradkowski,2013,,['Steelers'],0,,5.163,,,,,,,,,,,,6,7
Kenny Pickett,2022,,['Steelers'],0,,9.461,,,,,,,,,,,,6,7
John Skelton,,,[],0,,,,,,,,,,,,,,6,7
Tim Tebow,2010,,"['Broncos', 'Jets']",0,,9.595,,,,,,,,,,,,6,6
Cody Carlson,,,[],0,,,,,,,,,,,,,,4,5
Todd Collins,,,[],0,,,,,,,,,,,,,,,5
