Player,pass_yds,yrs_active,team,comp,att,pass_td,passer_rate,int,sacks,yds_lost,pick_6,pass_yds_game,comp_%,int_%,comebacks,wAV,game_win_drive,num_teams,teams,hof,tot_yrs_played,Year_Drafted,Year_Final,Career Earnings (millions),Cap-Inflated Earnings (millions),Earnings By Team Dict,_merge
Jared Goff,31444.0,2016-2024,2TM,2745.0,4231.0,190.0,93.6,86.0,224.0,1637.0,9.0,259.9,64.9%,2.0%,14.0,,17.0,2.0,tm,0.0,9.0,2016.0,9999.0,233.996,287.409,"{'Lions': 150.775, 'Rams': 83.221}",both
Steve McNair,31304.0,1995-2007,2TM,2733.0,4544.0,174.0,82.8,119.0,254.0,1567.0,,194.4,60.1%,2.6%,15.0,99.0,21.0,2.0,tm,0.0,13.0,1995.0,2007.0,76.984,292.104,"{'Titans': 60.984, 'Ravens': 16.0}",both
Steve McNair,,1995-2007,oti,,,,,,,,13.0,,,,,,,1.0,OTI,0.0,13.0,1995.0,2007.0,76.984,292.104,"{'Titans': 60.984, 'Ravens': 16.0}",both
Dak Prescott,30883.0,2016-2024,dal,2720.0,4064.0,210.0,98.7,78.0,247.0,1489.0,9.0,259.5,66.9%,1.9%,15.0,,23.0,1.0,DAL,0.0,9.0,2016.0,9999.0,239.896,289.497,{'Cowboys': 239.896},both
Norm Snead,30797.0,1961-1976,5TM,2276.0,4353.0,196.0,65.5,257.0,350.0,2735.0,,173.0,52.3%,5.9%,14.0,,19.0,5.0,tm,0.0,16.0,,,,,,left_only
Norm Snead,,1961-1976,4TM,,,,,,,,22.0,,,,,,,4.0,tm,0.0,16.0,,,,,,left_only
Randall Cunningham,29979.0,1985-2001,4TM,2429.0,4289.0,207.0,81.5,134.0,484.0,3537.0,,186.2,56.6%,3.1%,19.0,110.0,24.0,4.0,tm,0.0,17.0,,,,,,left_only
Randall Cunningham,,1985-2001,2TM,,,,,,,,5.0,,,,,,,2.0,tm,0.0,17.0,,,,,,left_only
Joe Ferguson,29817.0,1973-1990,4TM,2369.0,4519.0,196.0,68.4,209.0,312.0,2710.0,,160.3,52.4%,4.6%,20.0,,24.0,4.0,tm,0.0,18.0,,,,,,left_only
Joe Ferguson,,1973-1990,buf,,,,,,,,6.0,,,,,,,1.0,BUF,0.0,18.0,,,,,,left_only
Jon Kitna,29745.0,1997-2011,4TM,2677.0,4442.0,169.0,77.4,165.0,323.0,1987.0,17.0,211.0,60.3%,3.7%,18.0,,22.0,4.0,tm,0.0,15.0,2013.0,2013.0,0.056,0.117,{'Cowboys': 0.056},both
Patrick Mahomes,29659.0,2017-2024,kan,2497.0,3750.0,225.0,102.9,69.0,157.0,1031.0,4.0,293.7,66.6%,1.8%,15.0,96.0,18.0,1.0,KAN,0.0,8.0,2017.0,9999.0,136.153,170.188,{'Chiefs': 136.153},both
Roman Gabriel,29444.0,1962-1977,2TM,2366.0,4498.0,201.0,74.3,149.0,360.0,2711.0,10.0,160.9,52.6%,3.3%,16.0,98.0,15.0,2.0,tm,0.0,16.0,,,,,,left_only
Jake Plummer,29253.0,1997-2006,2TM,2484.0,4350.0,161.0,74.6,161.0,284.0,1735.0,13.0,204.6,57.1%,3.7%,20.0,,30.0,2.0,tm,0.0,10.0,1997.0,2006.0,53.403,204.612,"{'Cardinals': 31.073, 'Broncos': 22.33}",both
Brad Johnson,29054.0,1994-2008,4TM,2668.0,4326.0,166.0,82.5,122.0,251.0,1616.0,,164.1,61.7%,2.8%,14.0,,27.0,4.0,tm,0.0,15.0,,,,,,left_only
Brad Johnson,,1994-2008,3TM,,,,,,,,12.0,,,,,,,3.0,tm,0.0,15.0,,,,,,left_only
Rich Gannon,28743.0,1987-2004,4TM,2533.0,4206.0,180.0,84.7,104.0,302.0,1689.0,,183.1,60.2%,2.5%,16.0,97.0,20.0,4.0,tm,0.0,18.0,,,,,,left_only
Rich Gannon,,1987-2004,2TM,,,,,,,,6.0,,,,,,,2.0,tm,0.0,18.0,,,,,,left_only
Len Dawson,28711.0,1957-1975,3TM,2136.0,3741.0,239.0,82.6,183.0,376.0,3428.0,,136.1,57.1%,4.9%,15.0,109.0,16.0,3.0,tm,1.0,19.0,,,,,,left_only
Len Dawson,,1957-1975,2TM,,,,,,,,15.0,,,,,,,2.0,tm,1.0,19.0,,,,,,left_only
Chris Chandler,28484.0,1988-2004,7TM,2328.0,4005.0,170.0,79.1,146.0,380.0,2590.0,,158.2,58.1%,3.6%,10.0,,15.0,7.0,tm,0.0,17.0,,,,,,left_only
Chris Chandler,,1988-2004,2TM,,,,,,,,13.0,,,,,,,2.0,tm,0.0,17.0,,,,,,left_only
Trent Green,28475.0,1997-2008,4TM,2266.0,3740.0,162.0,86.0,114.0,259.0,1621.0,,237.3,60.6%,3.0%,15.0,94.0,19.0,4.0,tm,0.0,12.0,,,,,,left_only
Trent Green,,1997-2008,3TM,,,,,,,,6.0,,,,,,,3.0,tm,0.0,12.0,,,,,,left_only
Ron Jaworski,28190.0,1974-1989,4TM,2187.0,4117.0,179.0,72.8,164.0,363.0,2826.0,,149.9,53.1%,4.0%,17.0,,23.0,4.0,tm,0.0,16.0,,,,,,left_only
Ron Jaworski,,1974-1989,phi,,,,,,,,4.0,,,,,,,1.0,PHI,0.0,16.0,,,,,,left_only
Terry Bradshaw,27989.0,1970-1983,pit,2025.0,3901.0,212.0,70.9,210.0,307.0,2694.0,8.0,166.6,51.9%,5.4%,15.0,107.0,23.0,1.0,PIT,1.0,14.0,,,,,,left_only
Ken Stabler,27938.0,1970-1984,3TM,2270.0,3793.0,194.0,75.3,222.0,281.0,2514.0,16.0,151.8,59.8%,5.9%,16.0,93.0,23.0,3.0,tm,1.0,15.0,,,,,,left_only
Craig Morton,27908.0,1965-1982,3TM,2053.0,3786.0,183.0,73.5,187.0,405.0,3040.0,12.0,134.8,54.2%,4.9%,12.0,,21.0,3.0,tm,0.0,18.0,,,,,,left_only
Joe Namath,27663.0,1965-1977,2TM,1886.0,3762.0,173.0,65.5,220.0,170.0,1621.0,,197.6,50.1%,5.8%,15.0,94.0,15.0,2.0,tm,1.0,13.0,,,,,,left_only
Joe Namath,,1965-1977,nyj,,,,,,,,28.0,,,,,,,1.0,NYJ,1.0,13.0,,,,,,left_only
Jeff George,27602.0,1990-2001,5TM,2298.0,3967.0,154.0,80.4,113.0,358.0,2691.0,,210.7,57.9%,2.8%,8.0,,17.0,5.0,tm,0.0,12.0,,,,,,left_only
Jeff George,,1990-2001,4TM,,,,,,,,12.0,,,,,,,4.0,tm,0.0,12.0,,,,,,left_only
George Blanda,26920.0,1949-1975,4TM,1911.0,4007.0,236.0,60.6,277.0,88.0,1188.0,,79.2,47.7%,6.9%,17.0,97.0,17.0,4.0,tm,1.0,27.0,,,,,,left_only
George Blanda,,1949-1975,2TM,,,,,,,,17.0,,,,,,,2.0,tm,1.0,27.0,,,,,,left_only
Steve Grogan,26886.0,1975-1990,nwe,1879.0,3593.0,182.0,69.6,208.0,247.0,1986.0,11.0,180.4,52.3%,5.8%,13.0,,20.0,1.0,NWE,0.0,16.0,,,,,,left_only
Bobby Layne,26768.0,1948-1962,4TM,1814.0,3700.0,196.0,63.4,243.0,,1860.0,,153.0,49.0%,6.6%,18.0,,19.0,4.0,tm,1.0,15.0,,,,,,left_only
Bobby Layne,,1948-1962,2TM,,,,,,,,5.0,,,,,,,2.0,tm,1.0,15.0,,,,,,left_only
Jim Harbaugh,26288.0,1987-2000,4TM,2305.0,3918.0,129.0,77.6,117.0,361.0,2132.0,,148.5,58.8%,3.0%,15.0,,19.0,4.0,tm,0.0,14.0,,,,,,left_only
Jim Harbaugh,,1987-2000,3TM,,,,,,,,7.0,,,,,,,3.0,tm,0.0,14.0,,,,,,left_only
Jim Plunkett,25882.0,1971-1986,3TM,1943.0,3701.0,164.0,67.5,198.0,380.0,3279.0,12.0,164.9,52.5%,5.3%,18.0,,22.0,3.0,tm,0.0,16.0,,,,,,left_only
Jeff Garcia,25537.0,1999-2009,5TM,2264.0,3676.0,161.0,87.5,83.0,181.0,947.0,,204.3,61.6%,2.3%,11.0,,17.0,5.0,tm,0.0,11.0,2011.0,2011.0,0.124,0.262,{'Texans': 0.124},both
Jeff Garcia,,1999-2009,4TM,,,,,,,,11.0,,,,,,,4.0,tm,0.0,11.0,2011.0,2011.0,0.124,0.262,{'Texans': 0.124},both
Matt Schaub,25467.0,2004-2020,4TM,2148.0,3348.0,136.0,89.5,91.0,180.0,1245.0,,164.3,64.2%,2.7%,11.0,,14.0,4.0,tm,0.0,17.0,2004.0,2020.0,95.935,193.503,"{'Texans': 70.0, 'Falcons': 14.935, 'Raiders': 8.0, 'Ravens': 3.0}",both
Matt Schaub,,2004-2020,3TM,,,,,,,,14.0,,,,,,,3.0,tm,0.0,17.0,2004.0,2020.0,95.935,193.503,"{'Texans': 70.0, 'Falcons': 14.935, 'Raiders': 8.0, 'Ravens': 3.0}",both
Joe Theismann,25206.0,1974-1985,was,2044.0,3602.0,160.0,77.4,138.0,340.0,2757.0,5.0,150.9,56.7%,3.8%,18.0,,22.0,1.0,WAS,0.0,12.0,,,,,,left_only
Ken O'Brien,25094.0,1984-1993,2TM,2110.0,3602.0,128.0,80.4,98.0,353.0,2654.0,,194.5,58.6%,2.7%,13.0,,16.0,2.0,tm,0.0,10.0,,,,,,left_only
Ken O'Brien,,1984-1993,nyj,,,,,,,,6.0,,,,,,,1.0,NYJ,0.0,10.0,,,,,,left_only
Bob Griese,25092.0,1967-1980,mia,1926.0,3429.0,192.0,77.1,172.0,335.0,2930.0,11.0,155.9,56.2%,5.0%,15.0,104.0,19.0,1.0,MIA,1.0,14.0,,,,,,left_only
Tommy Kramer,24777.0,1977-1990,2TM,2012.0,3651.0,159.0,72.8,158.0,249.0,1586.0,,192.1,55.1%,4.3%,15.0,,19.0,2.0,tm,0.0,14.0,,,,,,left_only
Tommy Kramer,,1977-1990,min,,,,,,,,12.0,,,,,,,1.0,MIN,0.0,14.0,,,,,,left_only
Bart Starr,24718.0,1956-1971,gnb,1808.0,3149.0,152.0,80.5,138.0,287.0,2960.0,8.0,126.1,57.4%,4.4%,18.0,,17.0,1.0,GNB,1.0,16.0,,,,,,left_only
