player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay,player_nfl,draft_yr,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ,team_names,teams,hof_yr,_merge
Thaddeus Lewis,Duke,,3.0,2006.0,2009.0,877,1510,,10065,67,40,1860,9987,,,,,,,Thaddeus Lewis,1994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['49ers', 'Bills']",0,0.0,both
David Blough,Purdue,,3.0,2015.0,2018.0,871,1429,,9734,69,43,1693,9996,83,,,,,,David Blough,2019.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Lions', 'Cardinals', 'Vikings', 'Browns']",0,0.0,both
Peyton Manning,Tennessee,147.1,3.0,1994.0,1997.0,863,1381,62.5,11201,89,,1534,11020,101,8.1,8.3,,248.9,7.2,Peyton Manning,1998.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Colts', 'Broncos']","['Indianapolis Colts 1998-2010', 'Denver Broncos 2012-2015']",2021.0,both
Mike White,Western Kentucky,,4.0,2013.0,2017.0,863,1393,62.0,11262,74,,1529,10792,80,8.1,8.1,,256.0,7.1,Mike White,2018.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Dolphins', 'Jets', 'Cowboys']",0,0.0,both
Dorian Thompson-Robinson,UCLA,145.6,4.0,2018.0,2022.0,860,1359,63.3,10710,88,,1830,12536,116,,,,,6.9,Dorian Thompson-Robinson,1991.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Browns'],0,0.0,both
Patrick Mahomes,Texas Tech,152.0,2.0,2014.0,2016.0,857,1349,63.5,11252,93,,1657,12072,115,8.3,8.8,,351.6,7.3,Patrick Mahomes,2017.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,['Chiefs'],['Kansas City Chiefs 2017-2024'],0.0,both
Jack Plummer,Louisville,,4.0,2019.0,2023.0,857,1338,64.1,9728,68,,1593,9710,,,,,,,Jack Plummer,1997.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,['Panthers'],"['Arizona Cardinals 1997-2002', 'Denver Broncos 2003-2006']",0.0,both
Ben Roethlisberger,Miami (OH),151.3,2.0,2001.0,2003.0,854,1304,65.5,10829,84,,1573,11075,91,8.3,8.4,,285.0,7.0,Ben Roethlisberger,2004.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,['Steelers'],['Pittsburgh Steelers 2004-2021'],0.0,both
Carson Strong,Nevada,147.4,3.0,2018.0,2021.0,852,1252,68.1,9368,74,,,,,,,,292.8,,Carson Strong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Eagles', 'Cardinals']",0,0.0,both
Cody Kessler,USC,156.4,3.0,2012.0,2015.0,851,1261,67.5,10339,88,,,9914,95,8.2,8.9,,,7.0,Cody Kessler,2016.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Browns', 'Jaguars', 'Patriots', 'Eagles']",0,0.0,both
Tanner Mordecai,Wisconsin,148.7,5.0,2018.0,2023.0,850,1281,66.4,9857,85,,1519,10463,93,,8.1,,,6.9,Tanner Mordecai,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['49ers'],0,0.0,both
Davis Webb,California,,3.0,2013.0,2016.0,841,1367,61.5,9852,83,,,9752,92,,,,281.5,6.8,Davis Webb,2017.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Giants', 'Bills', 'Jets']",0,0.0,both
Brett Hundley,UCLA,150.8,2.0,2012.0,2014.0,837,1241,67.4,9966,75,,1720,11713,106,,8.3,,249.2,6.8,Brett Hundley,2015.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cardinals', 'Packers', 'Seahawks', 'Colts', 'Ravens', 'Saints']",0,0.0,both
Ryan Griffin,Tulane,,3.0,2009.0,2012.0,836,1396,,,,,1545,,,,,,,,Ryan Griffin,2013.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Buccaneers', 'Saints']",0,0.0,both
Sean Clifford,Penn State,,4.0,2018.0,2022.0,833,1356,61.4,10661,86,,1744,11734,101,,8.1,,,6.7,Sean Clifford,2023.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Packers'],0,0.0,both
Trevone Boykin,TCU,,3.0,2012.0,2015.0,830,1356,61.2,10728,86,,1863,12777,114,,,,,6.9,Trevone Boykin,2016.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,['Seahawks'],0,0.0,both
Eli Manning,Ole Miss,,3.0,2000.0,2003.0,829,1363,,10119,81,,,9984,86,,,,235.3,6.7,Eli Manning,2004.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,['Giants'],['New York Giants 2004-2019'],0.0,both
Chad Henne,Michigan,,3.0,2004.0,2007.0,828,1387,,9715,87,,1567,,90,,,,,,Chad Henne,2008.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,"['Jaguars', 'Chiefs', 'Dolphins']","['Houston Oilers 1960', 'Houston Oilers 1961-1966']",0.0,both
Justin Herbert,Oregon,153.1,3.0,2016.0,2019.0,827,1293,64.0,10541,95,,1524,11101,108,8.2,8.8,,239.6,7.3,Justin Herbert,2020.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,['Chargers'],['Los Angeles Chargers 2020-2024'],0.0,both
Aidan O'Connell,Purdue,,3.0,2019.0,2022.0,826,1238,66.7,9219,,,,,,,,,279.4,6.7,Aidan O'Connell,2023.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['Raiders'],0,0.0,both
Steven Montez,Colorado,,3.0,2016.0,2019.0,824,1321,62.4,9710,,,1664,10670,,,,,,,Steven Montez,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Commanders', 'Lions']",0,0.0,both
Charlie Whitehurst,Clemson,,3.0,2002.0,2005.0,817,1368,,9665,,46,1634,9763,,,,,,,Charlie Whitehurst,1980.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,"['Seahawks', 'Chargers', 'Titans', 'Colts', 'Browns']","['Cleveland Browns 1980-1984', 'Los Angeles Rams 1985-1988']",0.0,both
Deshaun Watson,Clemson,157.5,2.0,2014.0,2016.0,814,1207,67.4,10163,90,,1642,12097,116,8.4,8.7,,267.4,7.4,Deshaun Watson,2017.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,"['Browns', 'Texans']","['Houston Texans 2017-2020', 'Cleveland Browns 2022-2024']",0.0,both
Andy Dalton,TCU,,3.0,2007.0,2010.0,812,1317,61.7,10314,71,,1730,11925,93,,,,,6.9,Andy Dalton,2011.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,"['Bengals', 'Bears', 'Panthers', 'Saints', 'Cowboys']","['Cincinnati Bengals 2011-2019', 'Dallas Cowboys 2020', 'Chicago Bears 2021', 'New Orleans Saints 2022', 'Carolina Panthers 2023-2024']",0.0,both
Desmond Ridder,Cincinnati,145.8,3.0,2018.0,2021.0,810,1304,62.1,10239,87,,1806,12418,117,,8.2,,,6.9,Desmond Ridder,2022.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,['Falcons'],0,0.0,both
Matt Leinart,USC,159.5,2.0,2003.0,2005.0,807,1245,64.8,10693,99,,,10623,109,8.6,9.3,,274.2,7.7,Matt Leinart,2006.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Cardinals', 'Texans', 'Raiders']",0,0.0,both
Chad Pennington,Marshall,156.2,2.0,1997.0,1999.0,807,1265,63.8,10698,100,,,10716,104,8.5,9.0,,297.2,7.5,Chad Pennington,1994.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"['Jets', 'Dolphins']",0,0.0,both
Matt Ryan,Boston College,,3.0,2004.0,2007.0,807,1347,,9313,,,1515,,,,,,,,Matt Ryan,2008.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"['Falcons', 'Colts']","['Atlanta Falcons 2008-2019', 'Atlanta Falcons 2020-2021', 'Indianapolis Colts 2022']",0.0,both
Alex McGough,Florida International,,3.0,2014.0,2017.0,806,1335,,,,,1643,,81,,,,,,Alex McGough,2018.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"['Texans', 'Seahawks', 'Packers', 'Jaguars']",0,0.0,both
Kellen Mond,Texas A&M,,3.0,2017.0,2020.0,801,1358,,9661,71,,1796,11269,93,,,,,,Kellen Mond,2021.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['Vikings', 'Browns', 'Colts']",0,0.0,both
