player,team,draft,nfl_success,hof_succ,wins_succ,awards_succ,stats_succ,earn_succ,long_succ,metrics_succ
Tony Eason,New England Patriots,1983,1,0,0,0,1,0,1,1
Tony Romo,Undrafted,2003,1,0,1,1,1,1,1,1
Trent Dilfer,Tampa Bay Buccaneers,1994,1,0,1,0,1,0,1,1
Trent Green,San Diego Chargers,1993,1,0,0,1,1,0,1,1
Trevor Lawrence,Jacksonville Jaguars,2021,1,0,0,0,1,1,0,1
Trevor Siemian,Denver Broncos,2015,1,0,0,0,0,1,1,1
Trey Lance,San Francisco 49ers,2021,1,0,0,0,1,1,0,1
Troy Aikman,Dallas Cowboys,1989,1,1,1,1,1,1,1,1
Tua Tagovailoa,Miami Dolphins,2020,1,0,0,0,1,1,0,1
Tyrod Taylor,Baltimore Ravens,2011,1,0,0,0,1,1,0,1
Vince Ferragamo,Los Angeles Rams,1977,1,0,0,0,1,0,1,1
Vince Young,Tennessee Titans,2006,1,0,0,1,0,1,1,1
Vinny Testaverde,Tampa Bay Buccaneers,1987,1,0,0,1,1,0,1,1
Wade Wilson,Minnesota Vikings,1981,1,0,1,0,1,0,1,1
Warren Moon,Undrafted,0,1,1,1,1,1,0,1,1
Y.A. Tittle,San Francisco 49ers,1951,1,1,1,1,1,0,1,1
Zeke Bratkowski,Chicago Bears,1953,1,0,0,0,1,0,1,1
A.J. Feeley,Philadelphia Eagles,2001,0,0,0,0,0,0,0,1
A.J. McCarron,Cincinnati Bengals,2014,0,0,0,0,0,1,0,1
Aaron Murray,Kansas City Chiefs,2014,0,0,0,0,0,1,0,0
Ace Parker,0,0,0,1,0,0,0,0,0,0
Adam Weber,Undrafted,2011,0,0,0,0,0,0,0,0
Adrian Burk,Washington Redskins,1951,0,0,0,1,0,0,0,0
Adrian Martinez,Undrafted,2024,0,0,0,0,0,0,0,0
Aidan O'Connell,Las Vegas Raiders,2023,0,0,0,0,0,1,0,1
Alek Torgersen,Undrafted,2017,0,0,0,0,0,0,0,0
Alex McGough,Seattle Seahawks,2018,0,0,0,0,0,1,0,0
Anthony Boone,Undrafted,0,0,0,0,0,0,0,0,0
Anthony Brown,Undrafted,2022,0,0,0,0,0,0,0,1
Anthony Gordon,Draft Finder,2021,0,0,0,0,0,0,0,0
Anthony Richardson,Undrafted,2023,0,0,0,0,0,1,0,0
Arnie Herber,0,0,0,1,0,0,1,0,0,0
Austin Allen,Undrafted,0,0,0,0,0,0,0,0,0
Austin Appleby,Undrafted,0,0,0,0,0,0,0,0,0
Austin Davis,Undrafted,2012,0,0,0,0,0,1,0,1
Austin Reed,Undrafted,2024,0,0,0,0,0,0,0,0
B.J. Coleman,Green Bay Packers,2012,0,0,0,0,0,0,0,0
B.J. Daniels,San Francisco 49ers,2013,0,0,0,0,0,1,0,1
Bailey Zappe,New England Patriots,2022,0,0,0,0,0,1,0,1
Ben DiNucci,Dallas Cowboys,2020,0,0,0,0,0,1,0,1
Benny Friedman,0,0,0,1,0,0,0,0,0,0
Billy Joe Tolliver,0,0,0,0,0,0,0,0,0,0
Billy Volek,Undrafted,0,0,0,0,0,0,0,0,1
Bo Nix,0,2024,0,0,0,0,0,1,0,0
Bob Avellini,Chicago Bears,1975,0,0,0,0,0,0,0,1
Bob Gagliano,Kansas City Chiefs,1981,0,0,0,0,1,0,0,1
Bob Hoernschemeyer,New York Giants,1947,0,0,0,1,0,0,0,0
Bob Lee,0,0,0,0,0,0,0,0,0,0
Bob Waterfield,Los Angeles Chargers,1960,0,1,0,0,0,0,0,1
Bobby Douglass,Chicago Bears,1969,0,0,0,0,0,0,0,1
Bobby Thomason,Undrafted,0,0,0,0,0,0,0,0,1
Brad Kaaya,Detroit Lions,2017,0,0,0,0,0,1,0,0
Brad Sorensen,San Diego Chargers,2013,0,0,0,0,0,0,0,0
Brady Quinn,Cleveland Browns,2007,0,0,0,0,0,0,0,1
Brandon Allen,Jacksonville Jaguars,2016,0,0,0,0,0,1,0,1
Brandon Doughty,Miami Dolphins,2016,0,0,0,0,0,0,0,0
Brandon Peters,Undrafted,0,0,0,0,0,0,0,0,1
Brandon Weeden,Cleveland Browns,2012,0,0,0,0,0,1,0,1
Brendon Kay,0,0,0,0,0,0,0,0,0,0
Brett Hundley,Green Bay Packers,2015,0,0,0,0,0,1,0,1
Brett Rypien,Undrafted,2019,0,0,0,0,0,1,0,1
Brian Lewerke,Undrafted,2021,0,0,0,0,0,0,0,0
Broc Rutter,0,0,0,0,0,0,0,0,0,0
Brock Jensen,0,0,0,0,0,0,0,0,0,0
Brogan Roback,Undrafted,0,0,0,0,0,0,0,0,0
Bruce Gradkowski,Tampa Bay Buccaneers,2006,0,0,0,0,0,1,0,1
Bryan Bennett,Undrafted,0,0,0,0,0,0,0,0,1
Bryce Perkins,Undrafted,2020,0,0,0,0,0,1,0,1
Bryce Petty,Detroit Lions,2009,0,0,0,0,0,1,0,1
Bryn Renner,0,0,0,0,0,0,0,0,0,0
Bud Schwenk,0,0,0,0,0,0,0,0,0,0
Byron Leftwich,Jacksonville Jaguars,2003,0,0,0,0,0,0,1,1
C.J. Beathard,San Francisco 49ers,2017,0,0,0,0,0,1,0,1
C.J. Stroud,0,2023,0,0,0,0,0,1,0,0
Caleb Hanie,Undrafted,0,0,0,0,0,0,0,0,1
Caleb Williams,Philadelphia Eagles,1990,0,0,0,0,0,1,0,1
Cardale Jones,Los Angeles Raiders,1994,0,0,0,0,0,1,0,1
Carson Strong,Undrafted,0,0,0,0,0,0,0,0,0
Carter Bradley,Undrafted,2024,0,0,0,0,0,0,0,1
Case Cookus,Undrafted,2022,0,0,0,0,0,0,0,0
Casey Bauman,0,0,0,0,0,0,0,0,0,0
Cecil Isbell,0,0,0,0,0,0,0,0,0,0
Chad Kanoff,Undrafted,2018,0,0,0,0,0,0,0,0
Chad Kelly,Denver Broncos,2017,0,0,0,0,0,1,0,1
Chandler Harnish,Indianapolis Colts,2012,0,0,0,0,0,0,0,0
Charlie Batch,Detroit Lions,1998,0,0,0,0,0,0,1,1
Charlie O'Rourke,0,0,0,0,0,0,0,0,0,0
Chase Daniel,Undrafted,2009,0,0,0,0,0,1,0,1
Chase Garbers,Undrafted,2022,0,0,0,0,0,0,0,0
Chase Litton,Draft Finder,2018,0,0,0,0,0,0,0,0
Chase Rettig,Undrafted,0,0,0,0,0,0,0,0,0
Chevan Cordeiro,0,0,0,0,0,0,0,0,0,0
Chris Oladokun,Pittsburgh Steelers,2022,0,0,0,0,0,0,0,0
Chris Redman,Baltimore Ravens,2000,0,0,0,0,0,0,0,1
Chris Streveler,Undrafted,2020,0,0,0,0,0,1,0,1
Chris Weinke,Carolina Panthers,2001,0,0,0,0,0,0,0,1
Christian Hackenberg,Undrafted,2016,0,0,0,0,0,1,0,0
Christian Ponder,Minnesota Vikings,2011,0,0,0,0,0,1,0,1
Clayton Thorson,Philadelphia Eagles,2019,0,0,0,0,0,0,0,0
Clayton Tune,Arizona Cardinals,2023,0,0,0,0,0,1,0,1
Cliff Stoudt,Pittsburgh Steelers,1977,0,0,0,0,0,0,0,1
Cody Carlson,Houston Oilers,1987,0,0,0,0,0,0,0,1
Cody Fajardo,Undrafted,0,0,0,0,0,0,0,0,0
Cody Kessler,Cleveland Browns,2016,0,0,0,0,0,1,0,1
Cole Kelley,Undrafted,0,0,0,0,0,0,0,0,0
Cole McDonald,Tennessee Titans,2020,0,0,0,0,0,0,0,0
Cole Stoudt,Undrafted,0,0,0,0,0,0,0,0,0
Connor Halliday,Undrafted,0,0,0,0,0,0,0,0,0
Connor Shaw,Undrafted,0,0,0,0,0,0,0,0,1
Cooper Rush,Undrafted,2017,0,0,0,0,0,1,0,1
Curtis Painter,Indianapolis Colts,2009,0,0,0,0,0,0,0,1
Dalton Sturm,0,0,0,0,0,0,0,0,0,0
Damon Huard,Undrafted,0,0,0,0,0,0,0,0,1
Dan Orlovsky,Detroit Lions,2005,0,0,0,0,0,1,0,1
Danny Etling,New England Patriots,2018,0,0,0,0,0,0,0,0
Danny Kanell,New York Giants,1996,0,0,0,0,0,0,0,1
Danny White,New York Giants,1988,0,0,0,0,1,0,0,1
Danny Wuerffel,New Orleans Saints,1997,0,0,0,0,0,0,0,1
Dave Brown,New York Giants,0,0,0,0,0,0,0,1,1
Dave Wilson,New Orleans Saints,0,0,0,0,0,0,0,0,1
David Archer,Undrafted,0,0,0,0,0,0,0,0,1
David Blough,Undrafted,2019,0,0,0,0,0,1,0,1
David Fales,Chicago Bears,2014,0,0,0,0,0,1,0,1
David Klingler,Cincinnati Bengals,1992,0,0,0,0,0,0,0,1
David Whitehurst,New York Giants,1988,0,0,0,0,0,0,0,1
Davis Cheek,Undrafted,2022,0,0,0,0,0,0,0,0
Davis Mills,Undrafted,2021,0,0,0,0,0,1,0,1
Davis Webb,New York Giants,2017,0,0,0,0,0,1,0,1
DeShone Kizer,Cleveland Browns,2017,0,0,0,0,0,1,0,1
Dennis Dixon,Pittsburgh Steelers,2008,0,0,0,0,0,0,0,1
Dennis Shaw,Buffalo Bills,1970,0,0,0,0,0,0,0,1
Devin Leary,Baltimore Ravens,2024,0,0,0,0,0,0,0,0
Devlin Hodges,Undrafted,2019,0,0,0,0,0,0,0,1
Dick Shiner,Washington Redskins,1964,0,0,0,0,0,0,0,1
Dick Wood,Baltimore Colts,1959,0,0,0,0,0,0,1,1
Dominique Davis,Dallas Cowboys,1962,0,0,0,0,0,0,0,1
Don Majkowski,Green Bay Packers,1987,0,0,0,0,0,0,1,1
Don Strock,Miami Dolphins,1973,0,0,0,0,0,0,0,1
Don Trull,Houston Oilers,1963,0,0,0,0,0,0,0,1
Dorian Thompson-Robinson,Seattle Seahawks,1991,0,0,0,0,0,1,0,1
Drake Maye,New England Patriots,2024,0,0,0,0,0,1,0,1
Dresser Winn,Undrafted,2023,0,0,0,0,0,0,0,0
Drew Anderson,Undrafted,2019,0,0,0,0,0,0,0,0
Drew Lock,Denver Broncos,2019,0,0,0,0,0,1,0,1
Drew Plitt,Undrafted,2023,0,0,0,0,0,0,0,0
Drew Stanton,Detroit Lions,2007,0,0,0,0,0,1,0,1
Dustin Vaughan,Undrafted,0,0,0,0,0,0,0,0,0
Dwayne Haskins,Washington Redskins,2019,0,0,0,0,0,1,0,1
Dylan Thompson,Undrafted,0,0,0,0,0,0,0,0,0
E.J. Manuel,0,2013,0,0,0,0,0,1,0,0
EJ Perry,Undrafted,2022,0,0,0,0,0,0,0,0
Easton Stick,Los Angeles Chargers,2019,0,0,0,0,0,1,0,1
Eli Jenkins,Green Bay Packers,2019,0,0,0,1,0,0,0,1
Eric Dungey,Undrafted,0,0,0,0,0,0,0,0,0
Eric Hipple,Detroit Lions,1980,0,0,0,0,0,0,1,1
Feleipe Franks,Undrafted,2021,0,0,0,0,0,1,0,1
Frank Filchock,0,0,0,0,0,0,0,0,0,0
Frank Reich,Buffalo Bills,1985,0,0,0,0,0,0,0,1
Frank Tripucka,Philadelphia Eagles,1949,0,0,0,0,0,0,1,1
Frankie Albert,Chicago Bears,1942,0,0,0,0,1,0,1,0
Fred Enke,0,0,0,0,0,0,0,0,0,0
G.J. Kinne,Undrafted,0,0,0,0,0,0,0,0,0
Gardner Minshew II,Jacksonville Jaguars,2019,0,0,0,0,1,0,0,1
Garrett Gilbert,Undrafted,2014,0,0,0,0,0,1,0,1
Garrett Grayson,New Orleans Saints,2015,0,0,0,0,0,1,0,0
Gary Cuozzo,Undrafted,0,0,0,0,0,0,0,1,1
Gary Huff,Chicago Bears,1973,0,0,0,0,0,0,0,1
Gavin Hardison,Undrafted,0,0,0,0,0,0,0,0,0
George Herring,San Francisco 49ers,1956,0,0,0,0,0,0,0,1
George Izo,0,0,0,0,0,0,0,0,0,0
George Ratterman,Boston Yanks,1948,0,0,0,0,1,0,1,0
George Shaw,Baltimore Colts,1955,0,0,0,0,1,0,0,1
